country,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NY.GNP.PCAP.CD,IT.NET.USER.ZS,SH.IMM.IDPT,SH.STA.MMRT,SH.XPD.CHEX.GD.ZS,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,IT.NET.SECR.P6,SP.URB.TOTL.IN.ZS,SL.EMP.VULN.ZS,SP.POP.DPND,SP.POP.GROW,EN.ATM.PM25.MC.M3,EN.GHG.ALL.PC.CE.AR5
Croatia,1.6381560285560042,21.1552547167429,9.94270826568941,83.24117599,93,1.0986122886681098,7.14699411,1.3862943611198906,78.4731707317073,1.46,10.289483165579043,57.2431560672198,7.24937678198308,58.6141257780841,0.104856226330186,2.7586590623883893,1.9379056027284336
Haiti,4.207772743914861,29.264427213971,7.461640392208575,47.99269867,54,5.793013608384144,3.19156528,3.6913763343125234,64.936,2.656,2.0001234184577985,54.4496819335618,75.8716215154887,56.7161065708492,1.15633263604117,2.7608171740012994,0.1569702826080025
Hungary,1.7110028650470663,25.423282000701,9.894446807883979,91.4500713,99,2.4849066497880004,6.36868954,1.1631508098056809,76.5707317073171,1.55,10.891499446139779,70.2923026891431,8.24644417864645,54.5703480456464,-0.134269181500181,2.618532601140242,1.8491083286035694
Indonesia,3.5396953522331973,40.2157519921814,8.478452363099807,69.20836554,83,4.941642422609304,2.70239949,2.7536607123542622,71.146,2.127,7.909265415332786,58.1179353397878,50.671641325763,47.0224568841154,0.842666137328498,3.037088407573537,1.5008850584085778
India,4.201968459284827,25.5525555206094,7.820037989458753,60.25230026,91,4.382026634673881,3.33944035,3.1986731175506815,72.003,1.975,6.873249327521424,35.0676918424186,72.7628402822064,47.0132181120622,0.883289539766135,3.989950694426932,1.073288616133461
Ireland,0.9202775180153001,34.0037014019007,11.28074116900387,96.8660965,93,1.3862943611198906,6.57538509,1.2237754316221157,82.8073170731707,1.5,11.917951558029273,64.1152082461268,10.3210240374341,52.8088109767237,1.87573900211149,2.0165311257995064,2.430412063324304
"Iran, Islamic Rep.",3.2788523154578035,38.7761581460708,8.531096096585228,83.71050262,99,2.772588722239781,6.02542305,2.3608540011180215,77.654,1.695,8.794727156525363,76.6759567260742,40.0099577621982,44.414481053557,1.20408185634218,3.694995457508926,2.430855706560848
Iraq,1.7623936037344552,53.9604851597879,8.68609172787805,81.80889893,91,4.189654742026425,5.53275251,3.0301337002713233,72.324,3.249,3.7759581476919655,69.868278503418,27.0725257191358,68.0336199589456,2.25148890849618,3.9013940419756254,2.1960079593123862
Iceland,2.073775682307298,19.7443213827779,11.300598206089868,97.94860077,92,1.0986122886681098,8.70510101,0.7419373447293773,82.4560975609756,1.55,11.37486433876191,94.1518261784801,10.2814429298707,50.1598302412054,0.953546915490719,1.595939952237887,2.3987922624300406
Israel,1.17995165430676,18.1095322410277,10.905588940823394,87.03842615,98,0.6931471805599453,7.09822369,0.9932517730102834,83.1951219512195,2.85,9.46692400186753,91.5089569794505,7.88898496592273,66.7509366513991,3.00437405991345,3.0865253732021416,2.0827536462956675
Italy,1.3636873451636926,23.667517226973,10.564886034781493,87.0278292,95,1.791759469228055,8.40559483,0.8329091229351039,83.3512195121951,1.21,10.317054986502482,69.5381540123301,14.5459593201289,57.1418238396626,-0.0499178457490556,2.6596863405964672,1.858974723465345
Jamaica,2.789723798014289,16.7222407974085,8.83346272071993,89.47304282,99,4.867534450455582,7.60493946,2.8154087194227095,71.479,1.358,5.251537304218321,58.4510149367429,31.7277710267084,36.9793488070563,0.0226098931571573,3.075167428414816,1.1581959286730592
Jordan,2.2262739967599723,26.790780203604,8.494947582468917,92.53443944,96,3.4339872044851463,7.66000605,2.509599262378372,77.814,2.639,5.2093065325670365,92.682236868336,8.18226341011927,55.1554977992581,1.61225050235636,3.4852937589328143,1.1010297231305657
Japan,0.9084852202747775,27.6517978744645,10.614965689780798,85.00990295,98,1.0986122886681098,10.73979473,0.5877866649021191,84.0412195121951,1.2,10.364125970414984,92.0826903891473,7.8790588899942,70.1001399306642,-0.487370782049143,2.4381590010580294,2.173178752898255
Kazakhstan,1.9557615175722807,32.4284843310401,9.278933163441794,92.87846096,99,2.302585092994046,3.76701546,2.028148247292285,74.402,3.012,8.668047561064867,61.7560919499181,24.953358583172,60.893935746271,1.46415151694869,2.9753326762273087,2.7774380737057274
Kenya,4.631652630565088,17.1222148239844,7.6544432264701125,32.07040024,93,5.003946305945459,4.35172892,3.5467396869528134,63.646,3.208,5.694177175419434,31.6330340816429,64.2693582037439,67.6739373442667,1.98296028478422,3.0082716069460425,0.597436696592856
Kyrgyz Republic,3.0809350986475,23.5839337797005,7.517520850603031,91.04440308,86,3.7376696182833684,4.50344467,2.70805020110221,72.2487804878049,2.7,6.70486373128084,34.706439175362,29.9347601469245,61.5475158691892,1.76957037310792,3.001908235550181,1.1180403964963501
Cambodia,4.132607802046439,40.5173741615592,7.779048644925556,68.92549896,84,4.919980925828125,4.61706829,2.833213344056216,70.668,2.579,5.4080656550412005,40.6290788072508,52.8614074933367,56.4253473651475,1.28320677599476,2.966623024500499,1.0336071214279738
Kiribati,5.194718088244106,11.2569231735681,8.21878715560148,88,90,4.382026634673881,10.94525623,3.6838669122903918,66.473,3.147,3.1195585327576576,61.5244676194408,35.1354019282024,64.0608558943316,1.56733842415292,1.3524910496895024,-0.1790822605794045
St. Kitts and Nevis,1.1818268425102723,21.3250720986857,9.992871113670814,76.58950043,96,4.30406509320417,5.73595428,2.667228206581955,72.145,1.505,9.016013249180443,31.7007809622822,21.1489353259776,40.908269045323,0.104849849656036,2.182757304221212,1.344075016521608
"Korea, Rep.",1.2032201438037098,32.5234690063974,10.54586761604242,97.41597478,98,1.3862943611198906,8.5650692,0.8754687373538999,83.4292682926829,0.721,9.182800661434374,81.1645551720421,18.1874620593958,41.4544025774417,0.077477253324535,3.0862136961206446,2.5617469095653234
Kuwait,0.684480837025096,60.2656226708529,10.646376824990888,99.74731125,99,2.0794415416798357,4.96311998,1.9740810260220096,83.1878048780488,1.524,5.95454471519024,100,2.16885021564415,27.4788324128055,5.58813678140227,4.13273859048543,3.543611692424553
Lao PDR,4.017344500436663,30.5335808308347,7.6544432264701125,64.39800262,74,4.718498871295094,1.32651615,3.339321977944068,68.964,2.421,5.613505101763649,38.8070088517156,76.9069957462894,54.0669284232336,1.39237667233214,3.257184198810382,1.681123960179793
Lebanon,0.9830846186210137,2.0863020184691,8.21878715560148,81.7059021,53,2.70805020110221,5.57497263,2.6878474937846906,77.817,2.239,6.516223497207708,90.4524074197598,19.3941428386248,57.5802354030357,0.503630953855672,3.284470785912521,1.156897115219437
